Country,Region,Date,Confirmed,Deaths,Recovered
Germany,,2020-04-09,118181,2607,52407
Russia,,2020-04-09,10131,76,698
US,,2020-04-09,461437,16478,25410
Germany,,2020-04-10,122171,2767,53913
Russia,,2020-04-10,11917,94,795
US,,2020-04-10,496535,18586,28790
Germany,,2020-04-11,124908,2736,57400
Russia,,2020-04-11,13584,106,1045
US,,2020-04-11,526396,20462,31270
Germany,,2020-04-12,127854,3022,60300
Russia,,2020-04-12,15770,130,1291
US,,2020-04-12,555313,22019,32988
Germany,,2020-04-13,130072,3194,64300
Russia,,2020-04-13,18328,148,1470
US,,2020-04-13,580619,23528,43482
Germany,,2020-04-14,131359,3294,68200
Russia,,2020-04-14,21102,170,1694
US,,2020-04-14,607670,25831,47763
Germany,,2020-04-15,134753,3804,72600
Russia,,2020-04-15,24490,198,1986
US,,2020-04-15,636350,28325,52096
Germany,,2020-04-16,137698,4052,77000
Russia,,2020-04-16,27938,232,2304
US,,2020-04-16,667801,32916,54703
Germany,,2020-04-17,141397,4352,83114
Russia,,2020-04-17,32008,273,2590
US,,2020-04-17,699706,36773,58545
Germany,,2020-04-18,143342,4459,85400
Russia,,2020-04-18,36793,313,3057
US,,2020-04-18,732197,38664,64840
Germany,,2020-04-19,145184,4586,88000
Russia,,2020-04-19,42853,361,3291
US,,2020-04-19,759086,40661,70337
Germany,,2020-04-20,147065,4862,91500
Russia,,2020-04-20,47121,405,3446
US,,2020-04-20,784326,42094,72329
Germany,,2020-04-21,148291,5033,95200
Russia,,2020-04-21,52763,456,3873
US,,2020-04-21,811865,44444,75204
Germany,,2020-04-22,150648,5279,99400
Russia,,2020-04-22,57999,513,4420
US,,2020-04-22,840220,46622,77366
Germany,,2020-04-23,153129,5575,103300
Russia,,2020-04-23,62773,555,4891
US,,2020-04-23,869170,49954,80203
Germany,,2020-04-24,154999,5760,109800
Russia,,2020-04-24,68622,615,5568
US,,2020-04-24,905333,51949,99079
Germany,,2020-04-25,156513,5877,109800
Russia,,2020-04-25,74588,681,6250
US,,2020-04-25,938154,53755,100372
Germany,,2020-04-26,157770,5976,112000
Russia,,2020-04-26,80949,747,6767
US,,2020-04-26,965783,54881,106988
Germany,,2020-04-27,158758,6126,114500
Russia,,2020-04-27,87147,794,7346
US,,2020-04-27,988197,56259,111424
Germany,,2020-04-28,159912,6314,117400
Russia,,2020-04-28,93558,867,8456
US,,2020-04-28,1012582,58355,115936
Germany,,2020-04-29,161539,6467,120400
Russia,,2020-04-29,99399,972,10286
US,,2020-04-29,1039909,60967,120720
Germany,,2020-04-30,163009,6623,123500
Russia,,2020-04-30,106498,1073,11619
US,,2020-04-30,1069424,62996,153947
Germany,,2020-05-01,164077,6736,126900
Russia,,2020-05-01,114431,1169,13220
US,,2020-05-01,1103461,64943,164015
Germany,,2020-05-02,164967,6812,129000
Russia,,2020-05-02,124054,1222,15013
US,,2020-05-02,1132539,66369,175382
Germany,,2020-05-03,165664,6866,130600
Russia,,2020-05-03,134687,1280,16639
US,,2020-05-03,1158040,67682,180152
Germany,,2020-05-04,166152,6993,132700
Russia,,2020-05-04,145268,1356,18095
US,,2020-05-04,1180375,68922,187180
Germany,,2020-05-05,167007,6993,135100
Russia,,2020-05-05,155370,1451,19865
US,,2020-05-05,1204351,71064,189791
Germany,,2020-05-06,168162,7275,139900
Russia,,2020-05-06,165929,1537,21327
US,,2020-05-06,1228603,73431,189910
Germany,,2020-05-07,169430,7392,141700
Russia,,2020-05-07,177160,1625,23803
US,,2020-05-07,1257023,75662,195036
Germany,,2020-05-08,170588,7510,141700
Russia,,2020-05-08,187859,1723,26608
US,,2020-05-08,1283929,77180,198993
Germany,,2020-05-09,171324,7549,143300
Russia,,2020-05-09,198676,1827,31916
US,,2020-05-09,1309550,78795,212534
Germany,,2020-05-10,171879,7569,144400
Russia,,2020-05-10,209688,1915,34306
US,,2020-05-10,1329260,79526,216169
Germany,,2020-05-11,172576,7661,145617
Russia,,2020-05-11,221344,2009,39801
US,,2020-05-11,1347881,80682,232733
Germany,,2020-05-12,173171,7738,147200
Russia,,2020-05-12,232243,2116,43512
US,,2020-05-12,1369574,82376,230287
Germany,,2020-05-13,174098,7861,148700
Russia,,2020-05-13,242271,2212,48003
US,,2020-05-13,1390406,84119,243430
Germany,,2020-05-14,174478,7884,150300
Russia,,2020-05-14,252245,2305,53530
US,,2020-05-14,1417774,85898,246414
Germany,,2020-05-15,175233,7897,151597
Russia,,2020-05-15,262843,2418,58226
US,,2020-05-15,1442824,87530,250747
Germany,,2020-05-16,175752,7938,152600
Russia,,2020-05-16,272043,2537,63166
US,,2020-05-16,1467820,88754,268376
Germany,,2020-05-17,176369,7962,154011
Russia,,2020-05-17,281752,2631,67373
US,,2020-05-17,1486757,89562,272265
Germany,,2020-05-18,176551,8003,155041
Russia,,2020-05-18,290678,2722,70209
US,,2020-05-18,1508308,90347,283178
Germany,,2020-05-19,177778,8081,155681
Russia,,2020-05-19,299941,2837,76130
US,,2020-05-19,1528568,91921,289392
Germany,,2020-05-20,178473,8144,156966
Russia,,2020-05-20,308705,2972,85392
US,,2020-05-20,1551853,93439,294312
Germany,,2020-05-21,179021,8203,158087
Russia,,2020-05-21,317554,3099,92681
US,,2020-05-21,1577147,94702,298418
