Country,Region,Date,Confirmed,Deaths,Recovered
Germany,,2020-04-16,137698,4052,77000
Germany,,2020-04-17,141397,4352,83114
Germany,,2020-04-18,143342,4459,85400
Germany,,2020-04-19,145184,4586,88000
Germany,,2020-04-20,147065,4862,91500
Germany,,2020-04-21,148291,5033,95200
Germany,,2020-04-22,150648,5279,99400
Germany,,2020-04-23,153129,5575,103300
Germany,,2020-04-24,154999,5760,109800
Germany,,2020-04-25,156513,5877,109800
Germany,,2020-04-26,157770,5976,112000
Germany,,2020-04-27,158758,6126,114500
Germany,,2020-04-28,159912,6314,117400
Germany,,2020-04-29,161539,6467,120400
Germany,,2020-04-30,163009,6623,123500
Germany,,2020-05-01,164077,6736,126900
Germany,,2020-05-02,164967,6812,129000
Germany,,2020-05-03,165664,6866,130600
Germany,,2020-05-04,166152,6993,132700
Germany,,2020-05-05,167007,6993,135100
Germany,,2020-05-06,168162,7275,139900
Germany,,2020-05-07,169430,7392,141700
Germany,,2020-05-08,170588,7510,141700
Germany,,2020-05-09,171324,7549,143300
Germany,,2020-05-10,171879,7569,144400
Germany,,2020-05-11,172576,7661,145617
Germany,,2020-05-12,173171,7738,147200
Germany,,2020-05-13,174098,7861,148700
Germany,,2020-05-14,174478,7884,150300
Germany,,2020-05-15,175233,7897,151597
Germany,,2020-05-16,175752,7938,152600
Germany,,2020-05-17,176369,7962,154011
Germany,,2020-05-18,176551,8003,155041
Germany,,2020-05-19,177778,8081,155681
Germany,,2020-05-20,178473,8144,156966
Germany,,2020-05-21,179021,8203,158087
