Country,Region,Date,Confirmed,Deaths,Recovered
Russia,,2020-04-16,27938,232,2304
Russia,,2020-04-17,32008,273,2590
Russia,,2020-04-18,36793,313,3057
Russia,,2020-04-19,42853,361,3291
Russia,,2020-04-20,47121,405,3446
Russia,,2020-04-21,52763,456,3873
Russia,,2020-04-22,57999,513,4420
Russia,,2020-04-23,62773,555,4891
Russia,,2020-04-24,68622,615,5568
Russia,,2020-04-25,74588,681,6250
Russia,,2020-04-26,80949,747,6767
Russia,,2020-04-27,87147,794,7346
Russia,,2020-04-28,93558,867,8456
Russia,,2020-04-29,99399,972,10286
Russia,,2020-04-30,106498,1073,11619
Russia,,2020-05-01,114431,1169,13220
Russia,,2020-05-02,124054,1222,15013
Russia,,2020-05-03,134687,1280,16639
Russia,,2020-05-04,145268,1356,18095
Russia,,2020-05-05,155370,1451,19865
Russia,,2020-05-06,165929,1537,21327
Russia,,2020-05-07,177160,1625,23803
Russia,,2020-05-08,187859,1723,26608
Russia,,2020-05-09,198676,1827,31916
Russia,,2020-05-10,209688,1915,34306
Russia,,2020-05-11,221344,2009,39801
Russia,,2020-05-12,232243,2116,43512
Russia,,2020-05-13,242271,2212,48003
Russia,,2020-05-14,252245,2305,53530
Russia,,2020-05-15,262843,2418,58226
Russia,,2020-05-16,272043,2537,63166
Russia,,2020-05-17,281752,2631,67373
Russia,,2020-05-18,290678,2722,70209
Russia,,2020-05-19,299941,2837,76130
Russia,,2020-05-20,308705,2972,85392
Russia,,2020-05-21,317554,3099,92681
