Country,Region,Date,Confirmed,Deaths,Recovered
US,,2020-04-16,667801,32916,54703
US,,2020-04-17,699706,36773,58545
US,,2020-04-18,732197,38664,64840
US,,2020-04-19,759086,40661,70337
US,,2020-04-20,784326,42094,72329
US,,2020-04-21,811865,44444,75204
US,,2020-04-22,840220,46622,77366
US,,2020-04-23,869170,49954,80203
US,,2020-04-24,905333,51949,99079
US,,2020-04-25,938154,53755,100372
US,,2020-04-26,965783,54881,106988
US,,2020-04-27,988197,56259,111424
US,,2020-04-28,1012582,58355,115936
US,,2020-04-29,1039909,60967,120720
US,,2020-04-30,1069424,62996,153947
US,,2020-05-01,1103461,64943,164015
US,,2020-05-02,1132539,66369,175382
US,,2020-05-03,1158040,67682,180152
US,,2020-05-04,1180375,68922,187180
US,,2020-05-05,1204351,71064,189791
US,,2020-05-06,1228603,73431,189910
US,,2020-05-07,1257023,75662,195036
US,,2020-05-08,1283929,77180,198993
US,,2020-05-09,1309550,78795,212534
US,,2020-05-10,1329260,79526,216169
US,,2020-05-11,1347881,80682,232733
US,,2020-05-12,1369574,82376,230287
US,,2020-05-13,1390406,84119,243430
US,,2020-05-14,1417774,85898,246414
US,,2020-05-15,1442824,87530,250747
US,,2020-05-16,1467820,88754,268376
US,,2020-05-17,1486757,89562,272265
US,,2020-05-18,1508308,90347,283178
US,,2020-05-19,1528568,91921,289392
US,,2020-05-20,1551853,93439,294312
US,,2020-05-21,1577147,94702,298418
