,,MAE,MAE,MAE,MALE,MALE,MALE,MAPE,MAPE,MAPE
,,Germany,Russia,US,Germany,Russia,US,Germany,Russia,US
1,RNN,2806.59765625,2170.127296447754,6671.129557291667,0.04947347646744215,2.075212019594356,0.13939210183608983,0.04698223900285958,0.8692518096558866,0.1512580883036425
1,SIRDp,8278.857142857143,205.21428571428572,4297.428571428572,0.12626088928043552,0.06619322271273781,0.0915364441502927,0.11750114643116047,0.06921494294710033,0.0859381129855159
1,SIRFp,8278.714285714286,205.28571428571428,4297.357142857143,0.12625837720576336,0.06620741334980218,0.09153342563775488,0.1174989145379801,0.06923110325737829,0.08593530194374381
1,SIRp,4398.857142857143,512.9285714285714,43610.78571428572,0.06907528946847662,0.16988032176799864,0.613164912510631,0.06566962080639346,0.18885014537878744,0.849770576902201
5,RNN,5625.34765625,3534.3772989908853,14573.545572916666,0.0691589517115359,2.326358428843003,0.2049250162480263,0.0666231124561355,0.9016344037632283,0.23168359876527175
5,SIRDp,10808.5,538.5714285714286,8804.857142857143,0.13626616582499138,0.14057143568830785,0.14929593774192024,0.1264601733754819,0.1413374649250833,0.13604553153329177
5,SIRFp,10808.5,539.0,8804.92857142857,0.13626616582499138,0.14063851394552582,0.14929754691031819,0.1264601733754819,0.14141501868073608,0.13604683728565325
5,SIRp,6282.142857142857,878.7142857142857,53007.78571428572,0.08017094556149332,0.16366591963280652,0.5498740215896073,0.07615589236066768,0.18510325965260258,0.734854784333556
30,RNN,38306.184895833336,58711.211934407555,57224.765625,0.2942662994552077,4.830652250060016,0.19216864482816554,0.2545132883573696,0.9918434928454863,0.22273670778713428
30,SIRDp,14294.92857142857,41075.28571428572,98363.57142857143,0.09134623080165334,1.388280763779686,0.5131817165806193,0.09408955138586113,0.7448684193673032,0.3975041346462029
30,SIRFp,14294.857142857143,41072.78571428572,98363.07142857143,0.09134572884578228,1.3881989504456398,0.5131783951172547,0.09408906086228606,0.7448419309664267,0.39750214575740656
30,SIRp,19153.85714285714,38943.78571428572,52643.42857142857,0.11668752808795005,1.2569184453882476,0.17937017671351538,0.12511676129163055,0.7093014277604311,0.19908452504428675
